#Name GLON GLAT Distance J eJ alpha ealpha JB eJB alphaB ealphaB
#(deg) (deg) ( kpc) (log10[ GeV2 cm-5 sr]) (log10[deg]) (log10[ GeV2 cm-5 sr]) (log10[deg])
Carina 260.1 -22.2 105 18.1 0.23 -1.0 0.3 18.1 0.16 -1.5 0.1
Draco 86.4 34.7 76 18.8 0.16 -0.6 0.2 18.7 0.17 -1.0 0.2
Fornax 237.1 -65.7 147 18.2 0.21 -0.8 0.2 18.1 0.22 -1.1 0.1
LeoI 226.0 49.1 254 17.7 0.18 -1.1 0.3 17.6 0.17 -1.5 0.2
LeoII 220.2 67.2 233 17.6 0.18 -1.1 0.5 17.5 0.15 -1.9 0.5
Sculptor 287.5 -83.2 86 18.6 0.18 -0.6 0.3 18.5 0.17 -1.1 0.2
Sextans 243.5 42.3 86 18.4 0.27 -0.9 0.2 18.4 0.16 -1.2 0.1
UrsaMinor 105.0 44.8 76 18.8 0.19 -0.5 0.2 18.7 0.20 -0.9 0.2
BootesI 358.1 69.6 66 18.8 0.22 -0.6 0.3 18.6 0.17 -1.1 0.2
Coma 241.9 83.6 44 19.0 0.25 -0.6 0.5 18.9 0.21 -1.1 0.3
CVnI 74.3 79.8 218 17.7 0.26 -1.3 0.2 17.6 0.17 -1.6 0.1
CVnII 113.6 82.7 160 17.9 0.25 -1.1 0.4 17.8 0.19 -1.6 0.2
Hercules 28.7 36.9 132 18.1 0.25 -1.1 0.4 17.9 0.19 -1.6 0.2
LeoIV 265.4 56.5 154 17.9 0.28 -1.1 0.4 17.8 0.21 -1.6 0.2
LeoT NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
Segue1 220.5 50.4 23 19.5 0.29 -0.4 0.5 19.4 0.24 -0.9 0.2
Segue2 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
UrsaMajorI 159.4 54.4 97 18.3 0.24 -1.0 0.3 18.2 0.18 -1.4 0.2
UrsaMajorII 152.5 37.4 32 19.3 0.28 -0.5 0.4 19.2 0.21 -0.9 0.2
Willman1 158.6 56.8 38 19.1 0.31 -0.6 0.5 19.0 0.28 -1.1 0.2
