Name vlos
Carina CD 105 6 250 39 39 6.6 1.2 1.2 1.26 0.15 0.15 0.07 0.46 0.16 0.12 17.92 0.19 0.11 17.87 0.10 0.09 18.15 0.34 0.25 17.90 0.17 0.16
Draco CD 76 6 221 19 19 9.1 1.2 1.2 1.30 0.40 0.16 0.15 0.64 0.06 0.14 19.05 0.22 0.21 18.84 0.12 0.13 18.97 0.17 0.24 18.53 0.10 0.12
Fornax CD 147 12 710 77 77 11.7 0.9 0.9 2.61 0.13 0.04 0.05 0.31 0.08 0.05 17.84 0.11 0.06 17.83 0.12 0.06 17.99 0.11 0.08 17.86 0.04 0.05
LeoI CD 254 15 251 27 27 9.2 1.4 1.4 0.45 0.13 0.05 0.05 0.22 0.02 0.04 17.84 0.20 0.16 17.84 0.20 0.16 17.91 0.15 0.20 17.91 0.15 0.20
LeoII CD 233 14 176 42 42 6.6 0.7 0.7 0.23 0.04 0.05 0.02 0.09 0.03 0.05 17.97 0.20 0.18 17.97 0.20 0.18 17.24 0.35 0.48 17.24 0.35 0.48
Sculptor CD 86 6 283 45 45 9.2 1.4 1.4 1.94 0.15 0.05 0.05 0.48 0.14 0.11 18.57 0.07 0.05 18.54 0.06 0.05 18.47 0.16 0.14 18.19 0.07 0.06
Sextans CD 86 4 695 44 44 7.9 1.3 1.3 1.70 0.58 0.32 0.47 0.87 0.10 0.53 17.92 0.35 0.29 17.52 0.28 0.18 18.56 0.25 0.73 17.89 0.13 0.23
UrsaMinor CD 76 3 181 27 27 9.5 1.2 1.2 1.37 0.06 0.07 0.03 0.25 0.14 0.09 18.95 0.26 0.18 18.93 0.27 0.19 18.13 0.26 0.18 18.03 0.16 0.13
BootesI UF 66 2 242 21 21 2.4 0.9 0.5 0.47 0.22 0.05 0.10 0.26 0.02 0.04 18.24 0.40 0.37 18.24 0.40 0.37 17.90 0.23 0.26 17.90 0.23 0.26
Coma UF 44 4 77 10 10 4.6 0.8 0.8 0.31 0.16 0.02 0.05 0.17 0.01 0.02 19.02 0.37 0.41 19.02 0.37 0.41 17.96 0.20 0.25 17.96 0.20 0.25
CVnI UF 218 10 564 36 36 7.6 0.4 0.4 0.53 0.11 0.15 0.09 0.23 0.07 0.17 17.44 0.37 0.28 17.43 0.37 0.28 17.57 0.37 0.73 17.57 0.36 0.72
CVnII UF 160 4 74 14 14 4.6 1. 1. 0.13 0.07 0.01 0.02 0.07 0.001 0.01 17.65 0.45 0.43 17.65 0.45 0.43 16.97 0.24 0.23 16.97 0.24 0.23
Hercules UF 133 12 330 75 52 3.7 0.9 0.9 0.28 0.07 0.08 0.06 0.12 0.03 0.09 16.86 0.74 0.68 16.86 0.74 0.68 16.66 0.42 0.40 16.66 0.42 0.40
LeoIV UF 154 6 206 37 37 3.3 1.7 1.7 0.16 0.05 0.03 0.04 0.08 0.01 0.06 16.32 1.06 1.69 16.32 1.06 1.69 16.12 0.71 1.14 16.12 0.71 1.14
LeoV UF 178 10 135 32 32 3.7 2.3 1.4 0.07 0.03 0.01 0.02 0.04 0.001 0.01 16.37 0.94 0.87 16.37 0.94 0.87 15.86 0.46 0.47 15.86 0.46 0.47
LeoT UF 417 19 120 9 9 7.5 1.6 1.6 0.08 0.03 0.01 0.02 0.04 0.001 0.01 17.11 0.44 0.39 17.11 0.44 0.39 16.48 0.22 0.25 16.48 0.22 0.25
Segue1 UF 23 2 29 8 5 3.9 0.8 0.8 0.35 0.13 0.05 0.07 0.18 0.01 0.05 19.36 0.32 0.35 19.36 0.32 0.35 17.99 0.20 0.31 17.99 0.20 0.31
Segue2 UF 35 2 35 3 3 2.6 0. 0. 0.19 0.07 0.03 0.05 0.10 0.01 0.05 16.21 1.06 0.98 16.21 1.06 0.98 15.89 0.56 0.37 15.89 0.56 0.37
UrsaMajorI UF 97 4 319 50 50 7.6 1. 1. 0.43 0.15 0.08 0.12 0.22 0.03 0.14 17.87 0.56 0.33 17.87 0.56 0.33 17.61 0.20 0.38 17.61 0.20 0.38
UrsaMajorII UF 32 4 149 21 21 6.7 1.4 1.4 0.53 0.24 0.06 0.11 0.29 0.02 0.04 19.42 0.44 0.42 19.42 0.44 0.42 18.39 0.25 0.27 18.38 0.25 0.27
Willman1 UF 38 7 25 6 6 4.3 2.3 1.3 0.5 0.2 0.001 0.001 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
ReticulumII UF 30 3 50 3 1.7 3.22 1.64 0.49 1. 0.5 0.001 0.001 0.5 0.001 0.001 19.8 1.2 0.9 19.6 1. 0.7 19.3 0.8 0.9 18.8 0.7 0.7
TucanaII UF 57 5 211 35.5 23.7 8.6 4.4 2.7 1 0.5 0.001 0.001 0.5 0.001 0.001 18.9 1.1 0.9 18.7 0.9 0.7 18.8 0.8 0.9 18.4 0.7 0.7
HorologiumI UF 79 7 35.4 5.2 3.9 4.9 2.8 0.9 0.5 0.2 0.001 0.001 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
HydraII UF 134 10 66 12 9 4.5 0. 0. 0.5 0.2 0.001 0.001 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
PiscesII UF 182 18 58 7 7 5.4 3.6 2.4 0.5 0.2 0.001 0.001 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
GruI UF 120 11 62 81 39 18 0. 0. 0.5 0.2 0.001 0.001 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
