Name Oblate eO1 eO2 Prolate eP1 eP2 OblateD eOD1 eOD2 ProlateD ePD1 ePD2
HydraII -0.00231 0.05165 0.00158 0.00389 0.00266 0.08695 -0.00024 0.00542 0.00017 0.00077 0.00052 0.01712
LeoT -0.01193 0.00865 0.00827 0.02009 0.01392 0.01457 -0.00125 0.00091 0.00087 0.00396 0.00274 0.00287
LeoII -0.03235 0.01732 0.01081 0.05447 0.01819 0.02917 -0.00339 0.00182 0.00113 0.01072 0.00358 0.00574
Segue2 -0.03720 0.04152 0.01923 0.06263 0.03237 0.06990 -0.00390 0.00435 0.00202 0.01233 0.00637 0.01376
LeoI -0.05493 0.01002 0.00832 0.09248 0.01401 0.01686 -0.00576 0.00105 0.00087 0.01821 0.00276 0.00332
HorologiumI -0.03420 0.02785 0.02362 0.05757 0.03976 0.04688 -0.00359 0.00292 0.00248 0.01133 0.00783 0.00923
Fornax -0.08273 0.00339 0.00314 0.13927 0.00528 0.00571 -0.00868 0.00036 0.00033 0.02742 0.00104 0.00112
Draco -0.08601 0.00698 0.00643 0.14479 0.01083 0.01175 -0.00902 0.00073 0.00067 0.02851 0.00213 0.00231
Sculptor -0.08961 0.01140 0.00954 0.15087 0.01606 0.01919 -0.00940 0.00120 0.00100 0.02970 0.00316 0.00378
Carina -0.09294 0.02049 0.01551 0.15647 0.02612 0.03449 -0.00975 0.00215 0.00163 0.03081 0.00514 0.00679
Sextans -0.10037 0.02046 0.01637 0.16898 0.02756 0.03445 -0.01053 0.00215 0.00172 0.03327 0.00543 0.00678
Coma -0.10840 0.07148 0.03924 0.18250 0.06606 0.12035 -0.01137 0.00750 0.00411 0.03593 0.01301 0.02369
BootesI -0.11378 0.02557 0.01985 0.19155 0.03342 0.04304 -0.01193 0.00268 0.00208 0.03771 0.00658 0.00847
CVnI -0.11503 0.01182 0.01082 0.19366 0.01822 0.01990 -0.01206 0.00124 0.00113 0.03813 0.00359 0.00392
TucanaII -0.11440 0.04898 0.05334 0.19260 0.08980 0.08246 -0.01200 0.00514 0.00559 0.03792 0.01768 0.01624
PiscesII -0.11863 0.04827 0.03150 0.19971 0.05304 0.08127 -0.01244 0.00506 0.00330 0.03932 0.01044 0.01600
GruI -0.11743 0.11669 0.06369 0.19769 0.10722 0.19645 -0.01231 0.01224 0.00668 0.03892 0.02111 0.03868
Willman1 -0.14671 0.04005 0.03046 0.24700 0.05128 0.06743 -0.01539 0.00420 0.00319 0.04863 0.01010 0.01328
Segue1 -0.15125 0.07605 0.04510 0.25463 0.07593 0.12804 -0.01586 0.00798 0.00473 0.05013 0.01495 0.02521
LeoIV -0.15587 0.06424 0.04050 0.26242 0.06818 0.10814 -0.01635 0.00674 0.00425 0.05167 0.01342 0.02129
LeoV -0.15920 0.09580 0.05296 0.26802 0.08916 0.16127 -0.01670 0.01005 0.00555 0.05277 0.01755 0.03175
CVnII -0.17078 0.06490 0.04206 0.28751 0.07081 0.10926 -0.01791 0.00681 0.00441 0.05661 0.01394 0.02151
UrsaMinor -0.19054 0.02901 0.02358 0.32077 0.03970 0.04884 -0.01998 0.00304 0.00247 0.06316 0.00782 0.00962
ReticulumII -0.20683 0.01171 0.01596 0.34821 0.02688 0.01972 -0.02169 0.00123 0.00167 0.06856 0.00529 0.00388
UrsaMajorII -0.23098 0.03538 0.02777 0.38886 0.04675 0.05956 -0.02422 0.00371 0.00291 0.07656 0.00920 0.01173
Hercules -0.26564 0.06883 0.05005 0.44720 0.08426 0.11587 -0.02786 0.00722 0.00525 0.08805 0.01659 0.02281
UrsaMajorI -0.37334 0.05304 0.04134 0.62853 0.06960 0.08929 -0.03915 0.00556 0.00434 0.12375 0.01370 0.01758
