#Name D eD thetamax Jmax eJmax1 eJmax2 J05 eJ051 eJ052 Dmax eDmax1 eDmax2 D05 eD051 eD052
Carina 105 6 1.26 18.44 0.34 0.33 18.40 0.34 0.34 18.58 0.17 0.17 18.19 0.34 0.33
Draco 76 6 1.3 19.32 0.25 0.25 19.27 0.24 0.24 19.02 0.12 0.12 18.59 0.25 0.25
Fornax 147 12 2.61 18.68 0.17 0.17 18.56 0.16 0.16 19.25 0.09 0.09 18.46 0.17 0.17
LeoI 254 15 0.45 18.21 0.28 0.28 18.21 0.28 0.28 18.05 0.14 0.14 18.09 0.28 0.28
LeoII 233 14 0.23 17.82 0.25 0.25 17.85 0.25 0.25 17.51 0.12 0.13 17.82 0.25 0.25
Sculptor 86 6 1.94 19.14 0.29 0.29 19.07 0.29 0.29 19.13 0.15 0.15 18.54 0.29 0.29
Sextans 86 4 1.7 18.45 0.29 0.29 18.28 0.29 0.29 18.96 0.15 0.14 18.27 0.29 0.29
UrsaMinor 76 3 1.37 19.59 0.24 0.24 19.56 0.24 0.24 19.04 0.12 0.12 18.65 0.24 0.24
BootesI 66 2 0.47 17.05 0.38 0.64 17.06 0.38 0.65 17.45 0.19 0.32 17.49 0.38 0.64
Coma 44 4 0.31 19.05 0.32 0.32 19.08 0.32 0.32 18.04 0.16 0.16 18.26 0.32 0.32
CVnI 218 10 0.53 17.68 0.11 0.11 17.68 0.11 0.11 18.02 0.05 0.05 17.99 0.11 0.11
CVnII 160 4 0.13 18.03 0.40 0.40 18.06 0.40 0.40 17.11 0.20 0.20 17.57 0.40 0.40
Hercules 133 12 0.28 17.20 0.45 0.45 17.24 0.45 0.45 17.30 0.22 0.22 17.58 0.45 0.45
LeoIV 154 6 0.16 16.96 0.90 0.91 17.05 0.91 0.90 16.89 0.45 0.45 17.42 0.90 0.91
LeoV 178 10 0.07 17.23 0.70 1.06 17.35 0.71 1.06 16.55 0.35 0.53 17.43 0.70 1.06
LeoT 417 19 0.08 17.69 0.38 0.38 17.73 0.37 0.38 16.91 0.19 0.19 17.55 0.38 0.38
Segue1 23 2 0.35 19.80 0.39 0.39 19.81 0.39 0.39 18.23 0.20 0.20 18.38 0.39 0.39
Segue2 35 2 0.19 17.46 1.74 0.85 17.52 1.74 0.86 16.85 0.88 0.43 17.28 1.74 0.85
UrsaMajorI 97 4 0.43 18.88 0.25 0.25 18.89 0.25 0.25 18.28 0.13 0.13 18.35 0.25 0.25
UrsaMajorII 32 4 0.53 19.79 0.39 0.39 19.78 0.39 0.39 18.72 0.19 0.19 18.69 0.39 0.39
Willman1 38 7 0.5 19.69 0.62 0.92 19.69 0.62 0.92 18.23 0.32 0.45 18.23 0.62 0.92
ReticulumII 30 3 1.0 19.13 0.32 0.85 19.12 0.33 0.85 18.39 0.17 0.42 18.13 0.32 0.85
TucanaII 57 5 1.0 19.52 0.58 0.88 19.45 0.58 0.87 19.00 0.29 0.44 18.65 0.58 0.88
HorologiumI 79 7 0.5 19.05 0.39 0.95 19.05 0.39 0.95 17.99 0.20 0.47 17.99 0.20 0.47
HydraII 134 10 0.5 16.97 1.84 0.87 16.97 1.84 0.87 17.10 0.93 0.44 17.10 0.93 0.44
PiscesII 182 18 0.5 18.30 0.80 1.15 18.30 0.80 1.15 17.62 0.41 0.57 17.62 0.41 0.57
GruI 120 11 0.5 18.35 1.92 0.92 18.35 1.92 0.92 17.80 0.96 0.45 17.80 0.96 0.45
